Field name	Description	Type	Versions
fix.SettlCurrFxRate	SettlCurrFxRate (155)	Character string	1.0.0 to 4.2.3
fix.SettlCurrFxRateCalc	SettlCurrFxRateCalc (156)	Character string	1.0.0 to 4.2.3
fix.SettlCurrOfferFxRate	SettlCurrOfferFxRate (657)	Character string	1.0.0 to 4.2.3
fix.SettlDate	SettlDate (64)	Character string	1.2.0 to 4.2.3
fix.SettlDate2	SettlDate2 (193)	Character string	1.2.0 to 4.2.3
fix.SettlDeliveryType	SettlDeliveryType (172)	Character string	1.0.0 to 4.2.3
fix.SettlDepositoryCode	SettlDepositoryCode (173)	Character string	1.0.0 to 4.2.3
fix.SettlementCycleNo	SettlementCycleNo (1153)	Character string	1.10.0 to 4.2.3
fix.SettleOnOpenFlag	SettleOnOpenFlag (966)	Character string	1.10.0 to 4.2.3
fix.SettlInstCode	SettlInstCode (175)	Character string	1.0.0 to 4.2.3
fix.SettlInstID	SettlInstID (162)	Character string	1.0.0 to 4.2.3
fix.SettlInstMode	SettlInstMode (160)	Character string	1.0.0 to 4.2.3
fix.SettlInstMsgID	SettlInstMsgID (777)	Character string	1.2.0 to 4.2.3
fix.SettlInstRefID	SettlInstRefID (214)	Character string	1.0.0 to 4.2.3
fix.SettlInstReqID	SettlInstReqID (791)	Character string	1.2.0 to 4.2.3
fix.SettlInstReqRejCode	SettlInstReqRejCode (792)	Character string	1.2.0 to 4.2.3
fix.SettlInstSource	SettlInstSource (165)	Character string	1.0.0 to 4.2.3
fix.SettlInstTransType	SettlInstTransType (163)	Character string	1.0.0 to 4.2.3
fix.SettlLocation	SettlLocation (166)	Character string	1.0.0 to 4.2.3
fix.SettlMethod	SettlMethod (1193)	Character string	1.10.0 to 4.2.3
fix.SettlmntTyp	SettlmntTyp (63)	Character string	1.0.0 to 1.0.16
fix.SettlObligID	SettlObligID (1161)	Character string	1.10.0 to 4.2.3
fix.SettlObligMode	SettlObligMode (1159)	Character string	1.10.0 to 4.2.3
fix.SettlObligMsgID	SettlObligMsgID (1160)	Character string	1.10.0 to 4.2.3
fix.SettlObligRefID	SettlObligRefID (1163)	Character string	1.10.0 to 4.2.3
fix.SettlObligSource	SettlObligSource (1164)	Character string	1.10.0 to 4.2.3
fix.SettlObligTransType	SettlObligTransType (1162)	Character string	1.10.0 to 4.2.3
fix.SettlPartyID	SettlPartyID (782)	Character string	1.2.0 to 4.2.3
fix.SettlPartyIDSource	SettlPartyIDSource (783)	Character string	1.2.0 to 4.2.3
fix.SettlPartyRole	SettlPartyRole (784)	Character string	1.2.0 to 4.2.3
fix.SettlPartySubID	SettlPartySubID (785)	Character string	1.2.0 to 4.2.3
fix.SettlPartySubIDType	SettlPartySubIDType (786)	Character string	1.2.0 to 4.2.3
fix.SettlPrice	SettlPrice (730)	Character string	1.2.0 to 4.2.3
fix.SettlPriceType	SettlPriceType (731)	Character string	1.2.0 to 4.2.3
fix.SettlSessID	SettlSessID (716)	Character string	1.2.0 to 4.2.3
fix.SettlSessSubID	SettlSessSubID (717)	Character string	1.2.0 to 4.2.3
fix.SettlType	SettlType (63)	Character string	1.2.0 to 4.2.3
fix.SharedCommission	SharedCommission (858)	Character string	1.2.0 to 4.2.3
fix.ShortQty	ShortQty (705)	Character string	1.2.0 to 4.2.3
fix.ShortSaleReason	ShortSaleReason (853)	Character string	1.2.0 to 4.2.3
fix.Side	Side (54)	Character string	1.0.0 to 4.2.3
fix.SideComplianceID	SideComplianceID (659)	Character string	1.0.0 to 4.2.3
fix.SideCurrency	SideCurrency (1154)	Character string	1.10.0 to 4.2.3
fix.SideExecID	SideExecID (1427)	Character string	1.10.0 to 4.2.3
fix.SideFillStationCd	SideFillStationCd (1006)	Character string	1.10.0 to 4.2.3
fix.SideGrossTradeAmt	SideGrossTradeAmt (1072)	Character string	1.10.0 to 4.2.3
fix.SideLastQty	SideLastQty (1009)	Character string	1.10.0 to 4.2.3
fix.SideLiquidityInd	SideLiquidityInd (1444)	Character string	1.10.0 to 4.2.3
fix.SideMultiLegReportingType	SideMultiLegReportingType (752)	Character string	1.2.0 to 4.2.3
fix.SideReasonCd	SideReasonCd (1007)	Character string	1.10.0 to 4.2.3
fix.SideSettlCurrency	SideSettlCurrency (1155)	Character string	1.10.0 to 4.2.3
fix.SideTimeInForce	SideTimeInForce (962)	Character string	1.10.0 to 4.2.3
fix.SideTradeReportID	SideTradeReportID (1005)	Character string	1.10.0 to 4.2.3
fix.SideTrdRegTimestamp	SideTrdRegTimestamp (1012)	Character string	1.10.0 to 4.2.3
fix.SideTrdRegTimestampSrc	SideTrdRegTimestampSrc (1014)	Character string	1.10.0 to 4.2.3
fix.SideTrdRegTimestampType	SideTrdRegTimestampType (1013)	Character string	1.10.0 to 4.2.3
fix.SideTrdSubTyp	SideTrdSubTyp (1008)	Character string	1.10.0 to 4.2.3
fix.SideValue1	SideValue1 (396)	Character string	1.0.0 to 4.2.3
fix.SideValue2	SideValue2 (397)	Character string	1.0.0 to 4.2.3
fix.SideValueInd	SideValueInd (401)	Character string	1.0.0 to 4.2.3
fix.Signature	Signature (89)	Character string	1.0.0 to 4.2.3
fix.SignatureLength	SignatureLength (93)	Character string	1.0.0 to 4.2.3
fix.SolicitedFlag	SolicitedFlag (377)	Character string	1.0.0 to 4.2.3
fix.Spread	Spread (218)	Character string	1.0.0 to 4.2.3
fix.StandInstDbID	StandInstDbID (171)	Character string	1.0.0 to 4.2.3
fix.StandInstDbName	StandInstDbName (170)	Character string	1.0.0 to 4.2.3
fix.StandInstDbType	StandInstDbType (169)	Character string	1.0.0 to 4.2.3
fix.StartCash	StartCash (921)	Character string	1.2.0 to 4.2.3
fix.StartDate	StartDate (916)	Character string	1.2.0 to 4.2.3
fix.StartMaturityMonthYear	StartMaturityMonthYear (1241)	Character string	1.10.0 to 4.2.3
fix.StartStrikePxRange	StartStrikePxRange (1202)	Character string	1.10.0 to 4.2.3
fix.StartTickPriceRange	StartTickPriceRange (1206)	Character string	1.10.0 to 4.2.3
fix.StateOrProvinceOfIssue	StateOrProvinceOfIssue (471)	Character string	1.0.0 to 4.2.3
fix.StatsType	StatsType (1176)	Character string	1.10.0 to 4.2.3
fix.StatusText	StatusText (929)	Character string	1.2.0 to 4.2.3
fix.StatusValue	StatusValue (928)	Character string	1.2.0 to 4.2.3
fix.StipulationType	StipulationType (233)	Character string	1.0.0 to 4.2.3
fix.StipulationValue	StipulationValue (234)	Character string	1.0.0 to 4.2.3
fix.StopPx	StopPx (99)	Character string	1.0.0 to 4.2.3
fix.StrategyParameterName	StrategyParameterName (958)	Character string	1.10.0 to 4.2.3
fix.StrategyParameterType	StrategyParameterType (959)	Character string	1.10.0 to 4.2.3
fix.StrategyParameterValue	StrategyParameterValue (960)	Character string	1.10.0 to 4.2.3
fix.StreamAsgnAckType	StreamAsgnAckType (1503)	Character string	1.10.0 to 4.2.3
fix.StreamAsgnRejReason	StreamAsgnRejReason (1502)	Character string	1.10.0 to 4.2.3
fix.StreamAsgnReqID	StreamAsgnReqID (1497)	Character string	1.10.0 to 4.2.3
fix.StreamAsgnReqType	StreamAsgnReqType (1498)	Character string	1.10.0 to 4.2.3
fix.StreamAsgnRptID	StreamAsgnRptID (1501)	Character string	1.10.0 to 4.2.3
fix.StreamAsgnType	StreamAsgnType (1617)	Character string	1.10.0 to 4.2.3
fix.StrikeCurrency	StrikeCurrency (947)	Character string	1.2.0 to 4.2.3
fix.StrikeExerciseStyle	StrikeExerciseStyle (1304)	Character string	1.10.0 to 4.2.3
fix.StrikeIncrement	StrikeIncrement (1204)	Character string	1.10.0 to 4.2.3
fix.StrikeMultiplier	StrikeMultiplier (967)	Character string	1.10.0 to 4.2.3
fix.StrikePrice	StrikePrice (202)	Character string	1.0.0 to 4.2.3
fix.StrikePriceBoundaryMethod	StrikePriceBoundaryMethod (1479)	Character string	1.10.0 to 4.2.3
fix.StrikePriceBoundaryPrecision	StrikePriceBoundaryPrecision (1480)	Character string	1.10.0 to 4.2.3
fix.StrikePriceDeterminationMethod	StrikePriceDeterminationMethod (1478)	Character string	1.10.0 to 4.2.3
fix.StrikeRuleID	StrikeRuleID (1223)	Character string	1.10.0 to 4.2.3
fix.StrikeTime	StrikeTime (443)	Character string	1.0.0 to 4.2.3
fix.StrikeValue	StrikeValue (968)	Character string	1.10.0 to 4.2.3
fix.Subject	Subject (147)	Character string	1.0.0 to 4.2.3
fix.SubscriptionRequestType	SubscriptionRequestType (263)	Character string	1.0.0 to 4.2.3
fix.SwapPoints	SwapPoints (1069)	Character string	1.10.0 to 4.2.3
fix.Symbol	Symbol (55)	Character string	1.0.0 to 4.2.3
fix.SymbolSfx	SymbolSfx (65)	Character string	1.0.0 to 4.2.3
fix.tag.invalid	Invalid Tag	Label	2.4.0 to 4.2.3
fix.TargetCompID	TargetCompID (56)	Character string	1.0.0 to 4.2.3
fix.TargetLocationID	TargetLocationID (143)	Character string	1.0.0 to 4.2.3
fix.TargetPartyID	TargetPartyID (1462)	Character string	1.10.0 to 4.2.3
fix.TargetPartyIDSource	TargetPartyIDSource (1463)	Character string	1.10.0 to 4.2.3
fix.TargetPartyRole	TargetPartyRole (1464)	Character string	1.10.0 to 4.2.3
fix.TargetStrategy	TargetStrategy (847)	Character string	1.2.0 to 4.2.3
fix.TargetStrategyParameters	TargetStrategyParameters (848)	Character string	1.2.0 to 4.2.3
fix.TargetStrategyPerformance	TargetStrategyPerformance (850)	Character string	1.2.0 to 4.2.3
fix.TargetSubID	TargetSubID (57)	Character string	1.0.0 to 4.2.3
fix.TaxAdvantageType	TaxAdvantageType (495)	Character string	1.0.0 to 4.2.3
fix.TerminationType	TerminationType (788)	Character string	1.2.0 to 4.2.3
fix.TestMessageIndicator	TestMessageIndicator (464)	Character string	1.0.0 to 4.2.3
fix.TestReqID	TestReqID (112)	Character string	1.0.0 to 4.2.3
fix.Text	Text (58)	Character string	1.0.0 to 4.2.3
fix.ThresholdAmount	ThresholdAmount (834)	Character string	1.2.0 to 4.2.3
fix.TickDirection	TickDirection (274)	Character string	1.0.0 to 4.2.3
fix.TickIncrement	TickIncrement (1208)	Character string	1.10.0 to 4.2.3
fix.TickRuleType	TickRuleType (1209)	Character string	1.10.0 to 4.2.3
fix.TierCode	TierCode (994)	Character string	1.10.0 to 4.2.3
fix.TimeBracket	TimeBracket (943)	Character string	1.2.0 to 4.2.3
fix.TimeInForce	TimeInForce (59)	Character string	1.0.0 to 4.2.3
fix.TimeToExpiration	TimeToExpiration (1189)	Character string	1.10.0 to 4.2.3
fix.TimeUnit	TimeUnit (997)	Character string	1.10.0 to 4.2.3
fix.TotalAccruedInterestAmt	TotalAccruedInterestAmt (540)	Character string	1.0.0 to 4.2.3
fix.TotalAffectedOrders	TotalAffectedOrders (533)	Character string	1.0.0 to 4.2.3
fix.TotalNetValue	TotalNetValue (900)	Character string	1.2.0 to 4.2.3
fix.TotalNumPosReports	TotalNumPosReports (727)	Character string	1.2.0 to 4.2.3
fix.TotalNumSecurities	TotalNumSecurities (393)	Character string	1.0.0 to 1.0.16
fix.TotalNumSecurityTypes	TotalNumSecurityTypes (557)	Character string	1.0.0 to 1.0.16
fix.TotalTakedown	TotalTakedown (237)	Character string	1.0.0 to 4.2.3
fix.TotalVolumeTraded	TotalVolumeTraded (387)	Character string	1.0.0 to 4.2.3
fix.TotalVolumeTradedDate	TotalVolumeTradedDate (449)	Character string	1.0.0 to 4.2.3
fix.TotalVolumeTradedTime	TotalVolumeTradedTime (450)	Character string	1.0.0 to 4.2.3
fix.TotNoAccQuotes	TotNoAccQuotes (1169)	Character string	1.10.0 to 4.2.3
fix.TotNoAllocs	TotNoAllocs (892)	Character string	1.2.0 to 4.2.3
fix.TotNoCxldQuotes	TotNoCxldQuotes (1168)	Character string	1.10.0 to 4.2.3
fix.TotNoFills	TotNoFills (1361)	Character string	1.10.0 to 4.2.3
fix.TotNoOrders	TotNoOrders (68)	Character string	1.0.0 to 4.2.3
fix.TotNoPartyList	TotNoPartyList (1512)	Character string	1.10.0 to 4.2.3
fix.TotNoQuoteEntries	TotNoQuoteEntries (304)	Character string	1.2.0 to 4.2.3
fix.TotNoRejQuotes	TotNoRejQuotes (1170)	Character string	1.10.0 to 4.2.3
fix.TotNoRelatedSym	TotNoRelatedSym (393)	Character string	1.2.0 to 4.2.3
fix.TotNoSecurityTypes	TotNoSecurityTypes (557)	Character string	1.2.0 to 4.2.3
fix.TotNoStrikes	TotNoStrikes (422)	Character string	1.0.0 to 4.2.3
fix.TotNumAssignmentReports	TotNumAssignmentReports (832)	Character string	1.2.0 to 4.2.3
fix.TotNumReports	TotNumReports (911)	Character string	1.2.0 to 4.2.3
fix.TotNumTradeReports	TotNumTradeReports (748)	Character string	1.2.0 to 4.2.3
fix.TotQuoteEntries	TotQuoteEntries (304)	Character string	1.0.0 to 1.0.16
fix.TradeAllocIndicator	TradeAllocIndicator (826)	Character string	1.2.0 to 4.2.3
fix.TradeCondition	TradeCondition (277)	Character string	1.0.0 to 4.2.3
fix.TradeDate	TradeDate (75)	Character string	1.0.0 to 4.2.3
fix.TradedFlatSwitch	TradedFlatSwitch (258)	Character string	1.0.0 to 4.2.3
fix.TradeHandlingInstr	TradeHandlingInstr (1123)	Character string	1.10.0 to 4.2.3
fix.TradeID	TradeID (1003)	Character string	1.10.0 to 4.2.3
fix.TradeInputDevice	TradeInputDevice (579)	Character string	1.0.0 to 4.2.3
fix.TradeInputSource	TradeInputSource (578)	Character string	1.0.0 to 4.2.3
fix.TradeLegRefID	TradeLegRefID (824)	Character string	1.2.0 to 4.2.3
fix.TradeLinkID	TradeLinkID (820)	Character string	1.2.0 to 4.2.3
fix.TradeOriginationDate	TradeOriginationDate (229)	Character string	1.0.0 to 4.2.3
fix.TradePublishIndicator	TradePublishIndicator (1390)	Character string	1.10.0 to 4.2.3
fix.TradeReportID	TradeReportID (571)	Character string	1.0.0 to 4.2.3
fix.TradeReportRefID	TradeReportRefID (572)	Character string	1.0.0 to 4.2.3
fix.TradeReportRejectReason	TradeReportRejectReason (751)	Character string	1.2.0 to 4.2.3
fix.TradeReportTransType	TradeReportTransType (487)	Character string	1.0.0 to 4.2.3
fix.TradeReportType	TradeReportType (856)	Character string	1.2.0 to 4.2.3
fix.TradeRequestID	TradeRequestID (568)	Character string	1.0.0 to 4.2.3
fix.TradeRequestResult	TradeRequestResult (749)	Character string	1.2.0 to 4.2.3
fix.TradeRequestStatus	TradeRequestStatus (750)	Character string	1.2.0 to 4.2.3
fix.TradeRequestType	TradeRequestType (569)	Character string	1.0.0 to 4.2.3
fix.TradeType	TradeType (418)	Character string	1.0.0 to 1.0.16
fix.TradeVolume	TradeVolume (1020)	Character string	1.10.0 to 4.2.3
fix.TradingCurrency	TradingCurrency (1245)	Character string	1.10.0 to 4.2.3
fix.TradingReferencePrice	TradingReferencePrice (1150)	Character string	1.10.0 to 4.2.3
fix.TradingSessionDesc	TradingSessionDesc (1326)	Character string	1.10.0 to 4.2.3
fix.TradingSessionID	TradingSessionID (336)	Character string	1.0.0 to 4.2.3
fix.TradingSessionSubID	TradingSessionSubID (625)	Character string	1.0.0 to 4.2.3
fix.TradSesCloseTime	TradSesCloseTime (344)	Character string	1.0.0 to 4.2.3
fix.TradSesEndTime	TradSesEndTime (345)	Character string	1.0.0 to 4.2.3
fix.TradSesEvent	TradSesEvent (1368)	Character string	1.10.0 to 4.2.3
fix.TradSesMethod	TradSesMethod (338)	Character string	1.0.0 to 4.2.3
fix.TradSesMode	TradSesMode (339)	Character string	1.0.0 to 4.2.3
fix.TradSesOpenTime	TradSesOpenTime (342)	Character string	1.0.0 to 4.2.3
fix.TradSesPreCloseTime	TradSesPreCloseTime (343)	Character string	1.0.0 to 4.2.3
fix.TradSesReqID	TradSesReqID (335)	Character string	1.0.0 to 4.2.3
fix.TradSesStartTime	TradSesStartTime (341)	Character string	1.0.0 to 4.2.3
fix.TradSesStatus	TradSesStatus (340)	Character string	1.0.0 to 4.2.3
fix.TradSesStatusRejReason	TradSesStatusRejReason (567)	Character string	1.0.0 to 4.2.3
fix.TradSesUpdateAction	TradSesUpdateAction (1327)	Character string	1.10.0 to 4.2.3
fix.TransactTime	TransactTime (60)	Character string	1.0.0 to 4.2.3
fix.TransBkdTime	TransBkdTime (483)	Character string	1.0.0 to 4.2.3
fix.TransferReason	TransferReason (830)	Character string	1.2.0 to 4.2.3
fix.TrdMatchID	TrdMatchID (880)	Character string	1.2.0 to 4.2.3
fix.TrdRegTimestamp	TrdRegTimestamp (769)	Character string	1.2.0 to 4.2.3
fix.TrdRegTimestampOrigin	TrdRegTimestampOrigin (771)	Character string	1.2.0 to 4.2.3
fix.TrdRegTimestampType	TrdRegTimestampType (770)	Character string	1.2.0 to 4.2.3
fix.TrdRepIndicator	TrdRepIndicator (1389)	Character string	1.10.0 to 4.2.3
fix.TrdRepPartyRole	TrdRepPartyRole (1388)	Character string	1.10.0 to 4.2.3
fix.TrdRptStatus	TrdRptStatus (939)	Character string	1.2.0 to 4.2.3
fix.TrdSubType	TrdSubType (829)	Character string	1.2.0 to 4.2.3
fix.TrdType	TrdType (828)	Character string	1.2.0 to 4.2.3
fix.TriggerAction	TriggerAction (1101)	Character string	1.10.0 to 4.2.3
fix.TriggerNewPrice	TriggerNewPrice (1110)	Character string	1.10.0 to 4.2.3
fix.TriggerNewQty	TriggerNewQty (1112)	Character string	1.10.0 to 4.2.3
fix.TriggerOrderType	TriggerOrderType (1111)	Character string	1.10.0 to 4.2.3
fix.TriggerPrice	TriggerPrice (1102)	Character string	1.10.0 to 4.2.3
fix.TriggerPriceDirection	TriggerPriceDirection (1109)	Character string	1.10.0 to 4.2.3
fix.TriggerPriceType	TriggerPriceType (1107)	Character string	1.10.0 to 4.2.3
fix.TriggerPriceTypeScope	TriggerPriceTypeScope (1108)	Character string	1.10.0 to 4.2.3
fix.TriggerSecurityDesc	TriggerSecurityDesc (1106)	Character string	1.10.0 to 4.2.3
fix.TriggerSecurityID	TriggerSecurityID (1104)	Character string	1.10.0 to 4.2.3
fix.TriggerSecurityIDSource	TriggerSecurityIDSource (1105)	Character string	1.10.0 to 4.2.3
fix.TriggerSymbol	TriggerSymbol (1103)	Character string	1.10.0 to 4.2.3
fix.TriggerTradingSessionID	TriggerTradingSessionID (1113)	Character string	1.10.0 to 4.2.3
fix.TriggerTradingSessionSubID	TriggerTradingSessionSubID (1114)	Character string	1.10.0 to 4.2.3
fix.TriggerType	TriggerType (1100)	Character string	1.10.0 to 4.2.3
fix.TZTransactTime	TZTransactTime (1132)	Character string	1.10.0 to 4.2.3
fix.Underlying	Underlying (318)	Character string	1.0.0 to 1.0.16
fix.UnderlyingAdjustedQuantity	UnderlyingAdjustedQuantity (1044)	Character string	1.10.0 to 4.2.3
fix.UnderlyingAllocationPercent	UnderlyingAllocationPercent (972)	Character string	1.10.0 to 4.2.3
fix.UnderlyingAttachmentPoint	UnderlyingAttachmentPoint (1459)	Character string	1.10.0 to 4.2.3
fix.UnderlyingCapValue	UnderlyingCapValue (1038)	Character string	1.10.0 to 4.2.3
fix.UnderlyingCashAmount	UnderlyingCashAmount (973)	Character string	1.10.0 to 4.2.3
fix.UnderlyingCashType	UnderlyingCashType (974)	Character string	1.10.0 to 4.2.3
fix.UnderlyingCFICode	UnderlyingCFICode (463)	Character string	1.0.0 to 4.2.3
fix.UnderlyingCollectAmount	UnderlyingCollectAmount (986)	Character string	1.10.0 to 4.2.3
fix.UnderlyingContractMultiplier	UnderlyingContractMultiplier (436)	Character string	1.0.0 to 4.2.3
fix.UnderlyingContractMultiplierUnit	UnderlyingContractMultiplierUnit (1437)	Character string	1.10.0 to 4.2.3
fix.UnderlyingCountryOfIssue	UnderlyingCountryOfIssue (592)	Character string	1.0.0 to 4.2.3
fix.UnderlyingCouponPaymentDate	UnderlyingCouponPaymentDate (241)	Character string	1.0.0 to 4.2.3
fix.UnderlyingCouponRate	UnderlyingCouponRate (435)	Character string	1.0.0 to 4.2.3
fix.UnderlyingCPProgram	UnderlyingCPProgram (877)	Character string	1.2.0 to 4.2.3
fix.UnderlyingCPRegType	UnderlyingCPRegType (878)	Character string	1.2.0 to 4.2.3
fix.UnderlyingCreditRating	UnderlyingCreditRating (256)	Character string	1.0.0 to 4.2.3
fix.UnderlyingCurrency	UnderlyingCurrency (318)	Character string	1.2.0 to 4.2.3
fix.UnderlyingCurrentValue	UnderlyingCurrentValue (885)	Character string	1.2.0 to 4.2.3
fix.UnderlyingDeliveryAmount	UnderlyingDeliveryAmount (1037)	Character string	1.10.0 to 4.2.3
fix.UnderlyingDetachmentPoint	UnderlyingDetachmentPoint (1460)	Character string	1.10.0 to 4.2.3
fix.UnderlyingDirtyPrice	UnderlyingDirtyPrice (882)	Character string	1.2.0 to 4.2.3
fix.UnderlyingEndPrice	UnderlyingEndPrice (883)	Character string	1.2.0 to 4.2.3
fix.UnderlyingEndValue	UnderlyingEndValue (886)	Character string	1.2.0 to 4.2.3
fix.UnderlyingExerciseStyle	UnderlyingExerciseStyle (1419)	Character string	1.10.0 to 4.2.3
fix.UnderlyingFactor	UnderlyingFactor (246)	Character string	1.0.0 to 4.2.3
fix.UnderlyingFlowScheduleType	UnderlyingFlowScheduleType (1441)	Character string	1.10.0 to 4.2.3
fix.UnderlyingFXRate	UnderlyingFXRate (1045)	Character string	1.10.0 to 4.2.3
fix.UnderlyingFXRateCalc	UnderlyingFXRateCalc (1046)	Character string	1.10.0 to 4.2.3
fix.UnderlyingInstrRegistry	UnderlyingInstrRegistry (595)	Character string	1.0.0 to 4.2.3
fix.UnderlyingInstrumentPartyID	UnderlyingInstrumentPartyID (1059)	Character string	1.10.0 to 4.2.3
fix.UnderlyingInstrumentPartyIDSource	UnderlyingInstrumentPartyIDSource (1060)	Character string	1.10.0 to 4.2.3
fix.UnderlyingInstrumentPartyRole	UnderlyingInstrumentPartyRole (1061)	Character string	1.10.0 to 4.2.3
fix.UnderlyingInstrumentPartySubID	UnderlyingInstrumentPartySubID (1063)	Character string	1.10.0 to 4.2.3
fix.UnderlyingInstrumentPartySubIDType	UnderlyingInstrumentPartySubIDType (1064)	Character string	1.10.0 to 4.2.3
fix.UnderlyingIssueDate	UnderlyingIssueDate (242)	Character string	1.0.0 to 4.2.3
fix.UnderlyingIssuer	UnderlyingIssuer (306)	Character string	1.0.0 to 4.2.3
fix.UnderlyingLastPx	UnderlyingLastPx (651)	Character string	1.0.0 to 4.2.3
fix.UnderlyingLastQty	UnderlyingLastQty (652)	Character string	1.0.0 to 4.2.3
fix.UnderlyingLegCFICode	UnderlyingLegCFICode (1344)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegMaturityDate	UnderlyingLegMaturityDate (1345)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegMaturityMonthYear	UnderlyingLegMaturityMonthYear (1339)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegMaturityTime	UnderlyingLegMaturityTime (1405)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegOptAttribute	UnderlyingLegOptAttribute (1391)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegPutOrCall	UnderlyingLegPutOrCall (1343)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecurityAltID	UnderlyingLegSecurityAltID (1335)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecurityAltIDSource	UnderlyingLegSecurityAltIDSource (1336)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecurityDesc	UnderlyingLegSecurityDesc (1392)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecurityExchange	UnderlyingLegSecurityExchange (1341)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecurityID	UnderlyingLegSecurityID (1332)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecurityIDSource	UnderlyingLegSecurityIDSource (1333)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecuritySubType	UnderlyingLegSecuritySubType (1338)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSecurityType	UnderlyingLegSecurityType (1337)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegStrikePrice	UnderlyingLegStrikePrice (1340)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSymbol	UnderlyingLegSymbol (1330)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLegSymbolSfx	UnderlyingLegSymbolSfx (1331)	Character string	1.10.0 to 4.2.3
fix.UnderlyingLocaleOfIssue	UnderlyingLocaleOfIssue (594)	Character string	1.0.0 to 4.2.3
fix.UnderlyingMaturityDate	UnderlyingMaturityDate (542)	Character string	1.0.0 to 4.2.3
fix.UnderlyingMaturityDay	UnderlyingMaturityDay (314)	Character string	1.0.0 to 4.2.3
fix.UnderlyingMaturityMonthYear	UnderlyingMaturityMonthYear (313)	Character string	1.0.0 to 4.2.3
fix.UnderlyingMaturityTime	UnderlyingMaturityTime (1213)	Character string	1.10.0 to 4.2.3
fix.UnderlyingNotionalPercentageOutstanding	UnderlyingNotionalPercentageOutstanding (1455)	Character string	1.10.0 to 4.2.3
fix.UnderlyingOptAttribute	UnderlyingOptAttribute (317)	Character string	1.0.0 to 4.2.3
fix.UnderlyingOriginalNotionalPercentageOutstanding	UnderlyingOriginalNotionalPercentageOutstanding (1456)	Character string	1.10.0 to 4.2.3
fix.UnderlyingPayAmount	UnderlyingPayAmount (985)	Character string	1.10.0 to 4.2.3
fix.UnderlyingPriceDeterminationMethod	UnderlyingPriceDeterminationMethod (1481)	Character string	1.10.0 to 4.2.3
fix.UnderlyingPriceUnitOfMeasure	UnderlyingPriceUnitOfMeasure (1424)	Character string	1.10.0 to 4.2.3
fix.UnderlyingPriceUnitOfMeasureQty	UnderlyingPriceUnitOfMeasureQty (1425)	Character string	1.10.0 to 4.2.3
fix.UnderlyingProduct	UnderlyingProduct (462)	Character string	1.0.0 to 4.2.3
fix.UnderlyingPutOrCall	UnderlyingPutOrCall (315)	Character string	1.0.0 to 4.2.3
fix.UnderlyingPx	UnderlyingPx (810)	Character string	1.2.0 to 4.2.3
fix.UnderlyingQty	UnderlyingQty (879)	Character string	1.2.0 to 4.2.3
fix.UnderlyingRedemptionDate	UnderlyingRedemptionDate (247)	Character string	1.0.0 to 4.2.3
fix.UnderlyingRepoCollateralSecurityType	UnderlyingRepoCollateralSecurityType (243)	Character string	1.0.0 to 4.2.3
fix.UnderlyingRepurchaseRate	UnderlyingRepurchaseRate (245)	Character string	1.0.0 to 4.2.3
fix.UnderlyingRepurchaseTerm	UnderlyingRepurchaseTerm (244)	Character string	1.0.0 to 4.2.3
fix.UnderlyingRestructuringType	UnderlyingRestructuringType (1453)	Character string	1.10.0 to 4.2.3
fix.UnderlyingSecurityAltID	UnderlyingSecurityAltID (458)	Character string	1.0.0 to 4.2.3
fix.UnderlyingSecurityAltIDSource	UnderlyingSecurityAltIDSource (459)	Character string	1.0.0 to 4.2.3
fix.UnderlyingSecurityDesc	UnderlyingSecurityDesc (307)	Character string	1.0.0 to 4.2.3
fix.UnderlyingSecurityExchange	UnderlyingSecurityExchange (308)	Character string	1.0.0 to 4.2.3
fix.UnderlyingSecurityID	UnderlyingSecurityID (309)	Character string	1.0.0 to 4.2.3
fix.UnderlyingSecurityIDSource	UnderlyingSecurityIDSource (305)	Character string	1.0.0 to 4.2.3
fix.UnderlyingSecuritySubType	UnderlyingSecuritySubType (763)	Character string	1.2.0 to 4.2.3
fix.UnderlyingSecurityType	UnderlyingSecurityType (310)	Character string	1.0.0 to 4.2.3
fix.UnderlyingSeniority	UnderlyingSeniority (1454)	Character string	1.10.0 to 4.2.3
fix.UnderlyingSettlementDate	UnderlyingSettlementDate (987)	Character string	1.10.0 to 4.2.3
